Tweet_content,Sentiment Score
rt ichhcanarias hoy recuperamos el horario de invierno 🩸 ¿no sabes qué hacer con esa hora de más,0
✅ navega por nuestra web,0
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
chidiodinkalu lagmetropolitan st nicholas hospital mortuary ke,0
that hospital does not have a mortuary tho i thi… https//tco/mgez7mbjgq,0
rt sunkyyaky person wey dem suppose loosen all him bandage and evict for the hospital,0
rt dbmedico cansados de luchar contra el covid y contra el maltrato laboral ,0
cansados de sostener la excelencia sanidad sin recursos su…,-1
rt btsforces armyyyy miren esto es muy lindo,0
alright hospital 49ers  don’t let me down 😭,0
rt _lauryncalo22 all my people in the valley/la,0
rt ndchurssy potato hahahaha hoy nasa hospital kayo jusq ang lungkot kanina tapos may ganto hahahaah,0
rt ester0961 tots els que us avorriu i teniu tanta necesitat d’ oci nocturn,0
rt sonusood that’s the best part brotheri find a needy amp they somehow find me it’s about,0
“intentions”,0
rt toryfibs 1,0
⚠️ comunicat davant l'increment de casos de covid-19 al municipi i l'augment d'ingressos d'infectats en estat greu… https//tco/dufrozqbrx,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt abby_tow if you hear any rhetoric blaming the victim in the coming days and weeks — as in,-1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
“rounding the turn” 🙄realdonaldtrump 🖕🏼,0
rt miamiherald icymi a miami-dade nurse practitioner and mother of a 2-year-old said she was deliberately exposed to covid by a miami ph…,0
msnbc he’s about ready to release a vaccine in record time he’s done nothing quit lying fake news is joe even… https//tco/isaeaiyoij,-1
rt wmpolice missing | this is an urgent appeal to trace craig evans have you seen him ,0
the 35-year-old left hospital in birmingham t…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt abc7breaking breaking update federal government sending aid due to virus surge as el paso convention center to be converted into mak…,-2
luizinga até na cama do hospital vida kakakaka,0
rt rishibagree new twitter a/c,0
only 2-3 followers,0
one tweet,0
never tagged sonu sood,0
no location mentioned,0
no contact details,0
no email addr…,0
rt nto1927 patient in your list from 26th september tweeting to help on 25th october 🤣कमाल है 🤣🤣🤣 another q those who finds you and you…,1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt ester0961 tots els que us avorriu i teniu tanta necesitat d’ oci nocturn,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt milligazette this is the lovejihad which gives sleepless nights to the enemies of india we will keep promoting communal harmony you…,0
rt advocatemahere the money that was abused at those fruitless sanctions marches should've been devoted to buying hospital supplies sadl…,-2
rt white_mosco these one of the journalist that witness the burial of buhari in saudi arabia on  february's 2017 he has all the evidence…,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt jkbelk if you know any seniors in texas or florida that haven’t voted,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt newsweek texas makes convention center a hospital amid covid surge,0
rt saltydkdan **important**,0
alfred paperboxhouse just set up a ko-fi after being admitted to the hospital due to severe health issues…,-1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt junemcallister3 respect,1
rt lluis_llach ostres,0
rt rishibagree new twitter a/c,0
only 2-3 followers,0
one tweet,0
never tagged sonu sood,0
no location mentioned,0
no contact details,0
no email addr…,0
rt theplacardguy tweet for help dated 20th october but sonu sir antaryami hain,0
rt anufuche while we mourn,-1
rt edgaralarcont las 'coimas' del inmoral un nuevo aspirante asegura que sí hubo entrega de s/1’300000 de iccgsa a martinvizcarrac por…,0
rt shazhaitch lesstonehouse jeff_kennett jeff made early 90s recession worse amp decimated the public service he also closed our infecti…,-2
esunhonorestarconobrador,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt gavreilly covid19ireland ,0
1025 cases 0 deaths,0
previous sundays,0
18/10 1283,0
11/10 814,0
04/10 364,0
27/09 430,0
20/09 396,0
5-day ave…,0
rt _lauryncalo22 all my people in the valley/la,0
"rt gvillasis ""estas entregas de dinero ocurrieron en tres oportunidades más siempre hernández recibía los paquetes de dinero en las ofic…",0
rt ivette_pataki después de 1 mes con ocupación de 23/40 camas promedio en área covid en mi hospital,0
el…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt imtiaz_jaleel this clip of dr altaf from ikon hospital in aurangabad is just too touching hats off to all the doctors working tirele…,0
telemadrid idiazayuso sintxaurrondo para que quiere un hospital si no hay médicos  refuerza la atención primari… https//tco/r7tenpzpaj,0
i’ll be at the hospital holding the bill i got after labor unt unt y’all take this bitch back and give me another… https//tco/ag5en21tu1,-1
rt _lauryncalo22 all my people in the valley/la,0
rt acorbettn alisonleary1 credland_nicki it’s a bit like ‘the model hospital’ - a flawed concept applying averages and standards to co…,0
rt ivette_pataki después de 1 mes con ocupación de 23/40 camas promedio en área covid en mi hospital,0
el…,0
rt enriquealfaror además de anunciar que todo el personal médico eventual de saludjalisco tendrá seguridad social y que se basificará a…,0
rt jed_mercurio for an understanding of respiratory droplet transmission,0
disgusting,-1
eu não tinha tempo pra fazer atividades pq passava o final de semana com ele e não dá pra fazer atividades da facul… https//tco/0mbaqwe1gq,0
rt _lauryncalo22 all my people in the valley/la,0
rt miamiherald icymi a miami-dade nurse practitioner and mother of a 2-year-old said she was deliberately exposed to covid by a miami ph…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt lopezobrador_ en la frontera,0
rt planetfranklin morning all,0
rt somtosocial i lay on my hospital bed for two days this week,0
"rt sundermannaj new in jhieditor ""clinical utility of sars-cov-2 whole genome sequencing in deciphering source of infection""",0
- outbreak…,0
rt adrianasegovian 😳,0
rt sonusood that’s the best part brotheri find a needy amp they somehow find me it’s about,0
“intentions”,0
rt cscviews lesstonehouse jeff_kennett a bloody disasterone term sold off everything that wasn’t nailed down including the infectious…,-1
more “turning the corner”,0
livinginarcata aslavitt um because it’s true  each person who dies with covid in the hospital is $ on their book… https//tco/m9lxdr3rra,-1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt joscarlosjmnz llevamos meses en que ni un solo medio de comunicación se ha acercado a ningún hospital a informar de cómo está la ocupa…,0
i didn't feel any pain until they started to move me,-1
brookiedom lysscollins_ they made my wife go home at 3cm 👀  but we went back cause cause she was in tooo much pai… https//tco/og1f6v6wol,0
rt cnn sara blackwood,0
the 39-year-old was found with a gunshot wound and…,-1
rt doctorvsalazar cuanta razón tienes,0
chadfelixg i had aplastic anemia when i was a teenager i was given a 10% chance to live i survived for 2 reasons… https//tco/ote0dkkhht,0
en meses acabaramos llevando las sabanas al hospitalcomo en cuba,0
ldidoc a ver si te vale con la información del responsable del hospital  no te dejes engañar https//tco/suzdwgyiko,0
rt themendozawoman fight for the nhs with your whole chest ,0
this is what happens without it,0
johntory epdevilla cityoftoronto topublichealth joe_cressy icu rates and even hospital numbers are not up much… https//tco/16ebdqe3wp,0
rt shoaibr43863269 imrankhanpti a message of mother whose daughter is suffering from anxiety due to pmc_org establishing hospital in th…,-2
rt abc7breaking breaking update federal government sending aid due to virus surge as el paso convention center to be converted into mak…,-2
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
we are a third world country this is insane,-1
rt catswithnohope being kept company by one of the many hospital cats❤️ https//tco/enhww6jw6e,0
votebluetosaveamerica texascovid,0
rt ktsmcelina ‼️breaking the el paso convention center to be turned into a auxiliary hospital during the ongoing covid-19 crisis ,-1
acco…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt nto1927 patient in your list from 26th september tweeting to help on 25th october 🤣कमाल है 🤣🤣🤣 another q those who finds you and you…,1
rt o_rips but how could hospital overcrowding be at record a record low,0
i watched the news and they told me to hide under my bed and we…,0
rt latte_bogan lesstonehouse jeff_kennett he shut down the only infectious disease hospital in the state also worth noting he has a ma…,1
"dotará al hospital de valdebebas de personal de otros hospitales ""va a haber una reorganización de personal sanita… https//tco/mvyvkarbfw",0
rt ricardoaronski1 es insoportable la cantidad de muertos dentro del personal sanitario y lo único que hace la sociedad por ellos es ped…,0
rt _lauryncalo22 all my people in the valley/la,0
"rt timothy_stanley ""in some regions gps were asked to identify their frail elderly patients who would be left at home even if they were s…",-1
1967sokak eski video sponsor liv hospital degil artik acibadem burdan anlayabilirsiniz,0
rt denniswaynejon4 i’m a lunatic and i just escaped the mental hospitalplease vote for me https//tco/gjs1vfrvn3,-1
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt djsammer__ fui rodeado de amigos,0
rt phemmytula morenikemustsurvive,0
morenike on 19th oct,0
oi,0
provavelmente ninguém se importa,0
rt shaylathespaz the number for the hospital is 806 354-1000 ,0
the address is ,0
1501 coulter st,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt kaz_neena latte_bogan lesstonehouse jeff_kennett that hospital saved my life - aged 4 bronchial pneumonia and in an oxygen tent for…,0
kirstiealley turns out a lot of those masks came from china and did not meet hospital standards at least that's w… https//tco/mny6omhhkd,0
looking at that pic of you laying there lifeless in that hospital bed did it to me,-1
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
ser travesti é incrível,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
girl dont do it 💔,0
trumpsamerica noplan,0
rt mioriente atención📍| al servicio de urgencias del hospital de marinilla llegó esta mujer sin ninguna identificación la institución a…,-1
rt bnodesk france reports 52,0
- new cases 52,0
- positivity r…,0
rt saltydkdan **important**,0
alfred paperboxhouse just set up a ko-fi after being admitted to the hospital due to severe health issues…,-1
rt indiatoday the main accused in the alleged case of kidnapping and murder of a 13-year-old boy died at a hospital in the jabalpur dist…,-2
rt btsbrasil_offc info  201025 | uma fanbase filipina doou marmitas e bolos para os trabalhadores do centro médico josé reyes e hospi…,0
"rt rosacorrea_tv ""es una guerra q se tiene q ganar en las calles",0
rt chrisandjosep posting this from my hospital bed 😂🤷🏻‍♂️💦,0
new 👇🏼,0
https//tco/2s26vchdex,0
https//tco/tafiv0smaa,0
pollas_lefa2 xxx_me…,0
rt realvictor__ kidon hospital bed will you visit me when i'm discharged,0
nurse no,0
rt miciyaaahhh i did not happen yesterday ,0
rt lemmnc i work in a hospital and the president is not telling the truth about this pass it on,1
kanpur,0
rt wi_resistance 193 days since vos and wisgop passed a bill votebluetoendthisnightmare,0
rt jed_mercurio for an understanding of respiratory droplet transmission,0
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
rt theplacardguy tweet for help dated 20th october but sonu sir antaryami hain,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt ben_johns mps shouldn’t get expenses,0
rt phemmytula morenikemustsurvive,0
morenike on 19th oct,0
tchaney205 wow didn't even know my brotha stay up amp stay strong both my parents have been dealing with hospital vi… https//tco/pvjizxrrr7,2
rt _lauryncalo22 all my people in the valley/la,0
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt ben_johns mps shouldn’t get expenses,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
rt sonusood that’s the best part brotheri find a needy amp they somehow find me it’s about,0
“intentions”,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
lekkimassaccre,0
ialmostdorights i would love blue ones i wear crocs when i do my resin and the hospital socks fit so well in the… https//tco/fefhomctst,2
lisamoraitis1 grantnoland did you know that every accredited hospital in this country is supported by specific pr… https//tco/dnfza2s6yd,1
idiazayuso “el hospital de pandemias estará listo el 31 de octubre,0
