Tweet_content,Sentiment Score
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
they keeping me here for another night but don’t worry y’all this hospital can’t hold me 🕺🏾🕺🏾,-1
kingston hospital radio,0
monday 26th october,0
7pm-1030pm keith chevalier,0
tuesday 27th october,0
515pm-8pm doug pott… https//tco/yk6qrutkuh,0
help,0
dianadee16 latimes ucsf indeed,0
rt carterforva well usually when obama's spittin fire it ends up being a hellfire missile aimed at a hospital,1
rt favoredsinner too bad,-1
good road and other social ,1
amenities from people who can't ,0
give us noodles and su…,0
rt avogroovy “the soldiers,0
rt photopro28 99freemind jenninemorgan the facts are the hospitals have been far under capacity during covid 1000s of serious procedur…,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
laurie_garrett it's just the opposite hospitals are losing money people can't pay their hospital bills some of… https//tco/pj9qyqkqva,-1
rt chrismattmann it’s actually a very known consequence of a particular policy choice one that many of us suggested early on would have…,0
colvinj i hope there are enough hospital beds in a week or so,1
rt cnni there were two thoughts pushing kolt codner forward in his first marathon race his 4-year-old son andrew's fight against cancer…,0
rt johnegibson hey,0
operation theatre nurse – hospital job vacancy in dubai https//tco/wg2rbm6znl,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt ben_johns mps shouldn’t get expenses,0
rt _lauryncalo22 all my people in the valley/la,0
rt chrismattmann it’s actually a very known consequence of a particular policy choice one that many of us suggested early on would have…,0
cnn say it ain’t so,0
rt miciyaaahhh i did not happen yesterday ,0
rt grizatlcp oknox it will be great comfort to the families of those who die without hospital care to know that their senators have been…,1
rt ben_johns mps shouldn’t get expenses,0
rt loves2golf1 repsforbiden i work in a hospital and the president is not telling the truth about this,1
rt riotwomennn thank you  finally  the american medical association tweets a message to americans ,1
physicians are not inflating the c…,0
rt jimlnlips this is my granpa,0
rt timothy_stanley so to treat a disease that disproportionately kills the old,-1
rt orlaithclinton at the scene of a shooting incident at the creeslough walk area of west belfast this evening,0
a man aged in his 40s ha…,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt rishibagree new twitter a/c,0
only 2-3 followers,0
one tweet,0
never tagged sonu sood,0
no location mentioned,0
no contact details,0
no email addr…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt sarahfromttupm lubbock's region is officially considered one with high hospitalizations,0
italy had less daily infections,-1
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt immoralishme my 90 year old granny was sick last week but got better and was sent home from the hospital she’s still sick and went ba…,-1
rt scotto_voce with 5 minutes of your time to read brave slorance,1
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt runforvaughan respected doug ford premier of province of ontario with his message at 17th annual virtual run for vaughan,1
thank you…,1
was at the sandringham hospital,0
rt jed_mercurio for an understanding of respiratory droplet transmission,0
drdavidsamadi a coworker’s wife tested positive the day before she went in for a c-section she was in the hospita… https//tco/kyhvxccual,1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt cnni there were two thoughts pushing kolt codner forward in his first marathon race his 4-year-old son andrew's fight against cancer…,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt photopro28 99freemind jenninemorgan the facts are the hospitals have been far under capacity during covid 1000s of serious procedur…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt usmcliberal i wonder if the prolife maga crowd will start happily wearing facemasks — now that there’s evidence covid19 endangers…,2
"the irony of living in a country where hospital visits are free is your parents saying ""nothing is happening to you… https//tco/fulyvhpnso",0
rt _lauryncalo22 all my people in the valley/la,0
rt sarahfromttupm remember,0
available hospital beds 349,1
av…,0
rt xynar01 i just raised $500 usd for my local children’s hospital through  extralife donate today amp help me reach my goal https//t…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
anqieeb that split personality shit is weird they need to be mental hospital,-3
please read and retweet,0
joebiden i hope this is playing on every tv in every hospital waiting room in texas as they run out of icu beds,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt truthorbare wtf,0
doctor flouts coronavirus quarantine rules to return to work at glasgow hospital days after holiday in virus hotspot…,0
send a card today to help make sure kids in the hospital feel some extra-special joy on halloween this year--plus,1
rt shannonrwatts the only corner we’re turning,0
rt _lauryncalo22 all my people in the valley/la,0
rt chrismattmann it’s actually a very known consequence of a particular policy choice one that many of us suggested early on would have…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt jonhansentv my sister-in-law is a nurse practitioner in the covid ward,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt avogroovy “the soldiers,0
rt welshgasdoc imagine being as blind,-1
rt thevyraltrendz — one of the patients who walked out of the psychiatric hospital that was looted in calabar,0
rt avogroovy “the soldiers,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt chrismattmann it’s actually a very known consequence of a particular policy choice one that many of us suggested early on would have…,0
rt frasernelson at the peak of covid hospital cases,0
jangold_ ianbremmer 4xinsight how many are contagious all of them how many hospital beds and healthcare worke… https//tco/lkexkoyjci,-1
rt _lauryncalo22 all my people in the valley/la,0
rt mattbc we simply do not have the hospital capacity to sustain this,0
rt _lauryncalo22 all my people in the valley/la,0
rt neelajan so as we hcws have been screaming for the whole year - the northern metro community and schools outbreak came from a ho…,-1
dbchirpy trump lies about covid,0
rt adammelks there is only one way forward recognizeartsakh,0
rt avogroovy “the soldiers,0
"rt exjon an ""unintended consequence"" some of us warned about in march monomaniacal focus on covid is a threat to public health",-2
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
so there's nowhere to park near the hospital at all to go get tested for covid guess i'll walk there in the pissing rain then 😭💦,0
rt muzzlefreemadam i’m waiting for an appt at a public hospital in melb there are so many ways for the virus to restart it all comes do…,-1
rt carlosdelrio7 bhadeliamd as someone who has worked many long hours during this pandemic is a variety of roles including seeing patien…,2
vicgovdhhs northern metro cluster came from box hill hospital - state hospitals 🤔isn't that danandrews responsib… https//tco/wsojbgbdhn,0
rt _lauryncalo22 all my people in the valley/la,0
ㅤ,0
manning a ghostly ambulance and bringing dall to the hospital,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt _lauryncalo22 all my people in the valley/la,0
ㅤ,0
 and when people die inside their ambulance,-1
ㅤ,0
guys i usually don’t like to tweet about personal stuff but im sorry i’m in the hospital rn and my whole body hurts… https//tco/cfeckma4vz,0
st nicholas hospital has denied this,-1
want to give it another shot,0
i've been putting it off,0
rt jezs thinking of people i know who work in hospitals when i read this https//tco/ijex7khqma,1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt washingtonpost texas tries to shore up hospital capacity in el paso as coronavirus cases surge nationwide https//tco/jumwbstvvb,0
somebody selling trains for 5$ 😂 y’all gone be in the hospital for them fake pills🥴,-1
rt jaefans_global jaejoong was spotted at the funeral hall of seoul samsung hospital on 10/25,0
https//tco/pqo1bp3an4,0
kim jaejoong wh…,0
man in hospital as violent weather lashes queensland | the new daily https//tco/svxa2huhw2 gods throwing ice rock… https//tco/x2wfb0wy2b,-1
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt avogroovy “the soldiers,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
raytl_ traderlion_ born feb 11 in a snow storm i'm going to tell her we walked up hill both ways to the hospital haha,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
oh so i guess it was a drive by trump parade and the girl in the nurses uniform was like “we’re in the middle of a… https//tco/gdppfmakpi,2
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt 4stronut deku when class 1-a sees him in the hospital https//tco/g6b9aseipd,0
well let's refresh your memory on a 20-20-20 now will you abducted me and force me to the hospital you know you tol… https//tco/lgewboqhxt,2
rt frasernelson at the peak of covid hospital cases,0
"tuff_movie cbctoronto ""the tahsn group involved in the arbitration also includes sinai health system",0
rt theplacardguy tweet for help dated 20th october but sonu sir antaryami hain,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt monjamonjamon friendly reminder https//tco/ac3epmgrg8,1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt sugatradamus btsaeso blessed be the asteroid that fragmented and formed the meteor that fell on the prehistoric land decimating the a…,-2
rt milehighbecky it's surreal working in the er and also existing as a community member i go to work and see a hospital preparing for do…,2
rt welshgasdoc imagine being as blind,-1
rt granitedoc karlsteinberg ooof this patient was at my hospital,1
rt klara_sjo being popular on twitter is pretty much the same as sitting at the cool table in a mental hospital cafeteria,3
deangarnham max46023367 simondolan my home city is in tier 2,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt dedrastone6 seekjoy67 repsforbiden tax payers paid for it in full when his cult members are sick they will haul ass to the hospital…,-1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
rt aroradrn need to get your numbers straight fraser,0
a 30 bed ward needs 3 nurses per shift,0
to increase icu capacity by 12 beds,0
rt eseoheodigene nwaokenye peace is a 22 year old daughter of an aged father diagnosed with breast cancer at the irrua specialist hospita…,0
fatemperor can you plot italy v ireland graphs,-1
rt _lauryncalo22 all my people in the valley/la,0
lowe074 jerrybeach73 i lived 20 minutes from action park and vernon valley ski had a season pass to both fell of… https//tco/vlqbps3t14,-1
rt dangerousliber1 libertarians were told back in march that we were heartless for bringing up all the latent consequences of a lockdown,-1
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt washingtonpost texas tries to shore up hospital capacity in el paso as coronavirus cases surge nationwide https//tco/jumwbstvvb,0
at the peak of covid 40% of nhs beds were empty 4 times the normal amount,0
rt schemaly never forget,0
to expand on the airplane analogy planes exchange air amp purify it to a much higher quality than ordinary ward hosp… https//tco/xp2srpwzy0,1
rt _lauryncalo22 all my people in the valley/la,0
viuniversity navigatorviu friend’s daughter—not viu student— out at nanaimo bar this weekend was likely drugged… https//tco/gwtqstie5d,0
rt balogunshina98 good day everyone i am passionately and urgently appealing to well meaning people who are willing to contribute to the…,5
⠀⠀,0
i despise you ,-1
                         ,0
    ⠀⠀,0
rt sisi_eko15 may his soul rest in peace ❤️,1
rt jimlnlips this is my granpa,0
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt temiokomi at this point in time,0
ignorance,-1
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt saltydkdan **important**,0
alfred paperboxhouse just set up a ko-fi after being admitted to the hospital due to severe health issues…,-1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt avogroovy “the soldiers,0
rt jpkolb unintended hmmm ok predictable and preventable though absolutely,0
rt grizatlcp oknox it will be great comfort to the families of those who die without hospital care to know that their senators have been…,1
fellow of the royal college of physicians of ireland and fellow of the royal college of physicians uk consultant… https//tco/oxjaubb17k,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
derickdeci kwadwoanokye_ africafactsafz i did n lived in cameroon during many years how do u kno e got hospital… https//tco/msxvhwcayl,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt clubspeaks i lost my blue cross plan under obama amp joebiden my new plan went up 1000 a month lost my doctor amp hospital deductible w…,-2
rt sbrownsaucy5 mother and baby homes documents,0
cervical check scandal,-1
10,0
rental amp housing crisis,-1
underfunded mental…,0
rt whitehouse this fall,-1
addisonsuk sadly,-1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
anyone that believes a known serial liar such as trump,0
rt cnni there were two thoughts pushing kolt codner forward in his first marathon race his 4-year-old son andrew's fight against cancer…,0
rt stnicholas_ng st nicholas hospital facilities also,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt riotwomennn thank you  finally  the american medical association tweets a message to americans ,1
physicians are not inflating the c…,0
rt aghamilton29 we knew this was coming delayed medical treatments and a reduction in preventative visits will lead to deaths there is…,0
rt mirrorbreaking_ breaking huge 14 car m40 pile-up sees 20 injured and 11 taken to hospital https//tco/kj6n0jlrha https//tco/gpuuo9f…,-1
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt jordanmazzatv breaking 39-year-old taken to hospital with serious injuries after shooting at car wash in pawtucket  abc6 https//t…,-1
my grandad was diagnosed with covid today he’s currently in hospital being treated for what they thought was a che… https//tco/mhufebrshd,0
rt muzzlefreemadam i’m waiting for an appt at a public hospital in melb there are so many ways for the virus to restart it all comes do…,-1
rt chrislu44 worth recalling how marc short,1
-advised pence not to wear a mask at the mayo clinic in violation of hospital rules,-1
-weaken…,0
ishakaa another receipt against chidi cc banjy47 dmightyangel,0
good evening medtwitter and especially our awesome applicants wanna know why you should train with us at medstar… https//tco/jbccylrvcr,2
rt berniespofforth at the peak of covid 40% of nhs beds were empty 4 times the normal amount,0
rt ossoff another preventable and devastating rural hospital closure ,-1
i will fight to expand medicaid and deliver resources for georgia…,0
rt fenrir_71 who needs hospital beds when big oil's around to wet their beaks,0
